,codigo_pedido,codigo_cliente,data_nascimento_cliente,data_pedido,data,flg_bf,compras_bf
47,b5286f77861c564cef75e6827872e04e,3f0dab398d10a3f861066820aba31c9b,1959-12-29 00:00:00,2018-11-23,2018-11-23,1,4.0
48,7920ef794993b1d0d6aa0a9628da6e2a,3f0dab398d10a3f861066820aba31c9b,1959-12-29 00:00:00,2018-11-23,2018-11-23,1,4.0
49,08d28852abb06109ab53648ed41411bc,4112bda78775666500367aff2ae2c866,1996-05-29 00:00:00,2018-11-23,2018-11-23,1,3.0
50,ebc3616ec4584ba4d66c85a6b4d2b1e6,4112bda78775666500367aff2ae2c866,1996-05-29 00:00:00,2018-11-23,2018-11-23,1,3.0
51,76c9b99f16e98b70433fd9f5acfe9630,4112bda78775666500367aff2ae2c866,1996-05-29 00:00:00,2018-11-23,2018-11-23,1,3.0
52,33b00021f27d8e698741523beb9d4f7c,96e0592468da0b31f2b14144eeed8153,1985-08-02 00:00:00,2018-11-23,2018-11-23,1,3.0
53,4055433e004b73f4d4575ae29701451f,96e0592468da0b31f2b14144eeed8153,1985-08-02 00:00:00,2018-11-23,2018-11-23,1,3.0
54,e7cbe420520cc8ab877a4e2f5a69c3cb,96e0592468da0b31f2b14144eeed8153,1985-08-02 00:00:00,2018-11-23,2018-11-23,1,3.0
55,7f9e81f9b89f570748736b69940cfae9,37a65bc7c13962a470eedef441126182,1987-10-26 00:00:00,2018-11-23,2018-11-23,1,3.0
56,ef28f81e7f2136fb4dcd67357d8a2cc5,37a65bc7c13962a470eedef441126182,1987-10-26 00:00:00,2018-11-23,2018-11-23,1,3.0
57,5658869b8dfcf12cabb0e5f1acea88c7,37a65bc7c13962a470eedef441126182,1987-10-26 00:00:00,2018-11-23,2018-11-23,1,3.0
58,c2cc6fdec31c1294fd641d1c61cbc8ca,71acc9fd293c1b62d8e0babc606df25a,1982-10-06 00:00:00,2018-11-27,,,3.0
59,5af9b45332ed65201fc0b70594436e1e,71acc9fd293c1b62d8e0babc606df25a,1982-10-06 00:00:00,2018-11-27,,,3.0
60,68aaaf35c75455fd35230e60c2109539,71acc9fd293c1b62d8e0babc606df25a,1982-10-06 00:00:00,2018-11-23,2018-11-23,1,3.0
61,858260db8d5e097b527eb60b815ced04,71acc9fd293c1b62d8e0babc606df25a,1982-10-06 00:00:00,2018-11-23,2018-11-23,1,3.0
62,72bdf38f9c77969a282cebdb3664fe6e,71acc9fd293c1b62d8e0babc606df25a,1982-10-06 00:00:00,2018-11-23,2018-11-23,1,3.0
63,4fdfbacb74ca44f2a2062c783fb36ac0,5aebba40c3e5734fa7ee2c6dbde0540a,1976-12-06 00:00:00,2018-11-23,2018-11-23,1,3.0
64,504c99a9131b4c0bce573e656a927c70,5aebba40c3e5734fa7ee2c6dbde0540a,1976-12-06 00:00:00,2018-11-23,2018-11-23,1,3.0
65,86310276650670008e85261e8e589582,5aebba40c3e5734fa7ee2c6dbde0540a,1976-12-06 00:00:00,2018-11-23,2018-11-23,1,3.0
66,88bebb01617d7950ac1777f8ecb0f8a1,70a35a3d4743b95030c75089eea45dd7,1996-11-18 00:00:00,2018-11-23,2018-11-23,1,3.0
67,81ca72a9af13fa7b5620081694c62ac0,70a35a3d4743b95030c75089eea45dd7,1996-11-18 00:00:00,2018-11-23,2018-11-23,1,3.0
68,40d50ecd23109b800e6d4a0524bfca3c,70a35a3d4743b95030c75089eea45dd7,1996-11-18 00:00:00,2018-11-23,2018-11-23,1,3.0
69,44328873b8656556e13d1dcffbaead08,22275184edd41a8a91ec38d98479ff10,1994-05-05 00:00:00,2018-11-23,2018-11-23,1,3.0
70,18d825f3c2211953aa4fa0d6d7b3a8ab,22275184edd41a8a91ec38d98479ff10,1994-05-05 00:00:00,2018-11-23,2018-11-23,1,3.0
71,b422a85e4ac2f418313f5a6777171595,22275184edd41a8a91ec38d98479ff10,1994-05-05 00:00:00,2018-11-23,2018-11-23,1,3.0
72,110fdb292cc6b2cc185578492b12558c,3224ac7dee3bd6196c82dbcf3c58e019,2000-01-13 00:00:00,2018-11-23,2018-11-23,1,3.0
73,b0ec0e67b4092ffc2de13561c47074be,3224ac7dee3bd6196c82dbcf3c58e019,2000-01-13 00:00:00,2018-11-23,2018-11-23,1,3.0
74,715fd96b0daffb567c062f6a4c769345,3224ac7dee3bd6196c82dbcf3c58e019,2000-01-13 00:00:00,2018-11-23,2018-11-23,1,3.0
75,01ae53b5a9b8fda287c8bd4fa0214179,10d8cbef26dcd6deabdb339431981473,1997-09-18 00:00:00,2018-11-23,2018-11-23,1,3.0
76,5837a384fe5acc9dac1e63acb945e597,10d8cbef26dcd6deabdb339431981473,1997-09-18 00:00:00,2018-11-23,2018-11-23,1,3.0
